"ragione_sociale";"partita_iva";"codice_fiscale";"indirizzo";"cap";"citta";"provincia";"nazione";"email";"telefono";"attivo";"note";"fonte_principale";"fonte_secondaria";"evidenza";"robustezza_ragione_sociale";"robustezza_dati_anagrafici";"robustezza_contatti";"da_verificare"
"Aluminium Bozen S.r.l.";"08685400966";"";"Via Toni Ebner 24";"39100";"Bolzano";"BZ";"Italy";"info@aluminiumbozen.com";"+39 0471 906111";"true";"Presente in certificati e DDT; nei PDF compaiono anche sede legale a Milano e headquarters a Bolzano. Alias cartella: Aluminium Bz - Sapa Bz.";"certificati";"DDT";"Intestazione certificato letta: 'Aluminium Bozen S.r.l.', P.IVA, headquarters Bolzano, telefono ed email; DDT: cartella Aluminium Bz con 6 PDF.";"alta";"alta";"alta";"false"
"Arconic Extrusions Hannover GmbH";"";"";"Göttinger Chaussee 12-14";"30453";"Hannover";"";"Germany";"";"+49 511 420 75 0";"true";"Presente in certificati e DDT. Il certificato Eppendorf 2024 mostra chiaramente la ragione sociale completa Arconic Extrusions Hannover GmbH; in altri campioni compare ancora il naming Alcoa, da trattare come denominazione storica/alias.";"certificati";"DDT";"Certificato EEP68522-43593818_7075210_2024: header Arconic Extrusions Hannover GmbH, Göttinger Chaussee 12-14, 30453 Hannover, tel. +49 511 420 75 0. In altri campioni compare Alcoa Extrusions Hannover.";"alta";"alta";"media";"false"
"Aluminium-Werke Wutöschingen AG & Co. KG";"DE142829998";"";"Werkstraße 4";"79793";"Wutöschingen";"";"Germany";"information@aww.de";"+49 7746 81-0";"true";"Presente in certificati e DDT. Il DDT AWW 14125443 mostra indirizzo completo; il footer e i contatti confermano la stessa ragione sociale. Sito ufficiale AWW: VAT DE142829998 e contatti generali.";"DDT";"certificati + web ufficiale";"DDT 14125443: Aluminium-Werke Wutöschingen AG & Co. KG, Werkstraße 4, 79793 Wutöschingen. AWW Impressum: USt-IdNr. DE142829998, Tel +49 7746 81-0, information@aww.de.";"alta";"alta";"alta";"false"
"Grupa Kety S.A.";"PL5490001468";"";"ul. Kościuszki 111";"32-650";"Kety";"";"Poland";"";"+48 33 844 6000";"true";"Presente in certificati e DDT. Il DDT 12594 conferma la forma legale Grupa Kety S.A., indirizzo completo e telefono del segmento estrusi. Il sito ufficiale/GDPR conferma il NIP 5490001468.";"DDT";"certificati";"DDT 12594: Delivery from Grupa Kety S.A., ul. Kościuszki 111, 32-650 Kety, PL - POLAND; footer con Tel. +48 33 844 6000. GDPR/official: NIP 5490001468.";"alta";"alta";"media";"false"
"Impol d.o.o.";"SI45197687";"";"Partizanska ulica 38";"2310";"Slovenska Bistrica";"";"Slovenia";"info@impol.si";"+386 (0)2 8453 100";"true";"Presente in certificati e DDT. Fax visibile nei certificati ma non importato ancora in tabella; fonti ufficiali/aziendali confermano ID za DDV SI45197687.";"certificati";"DDT";"Intestazione certificato letta: Impol d.o.o., Partizanska ulica 38, 2310 Slovenska Bistrica, Slovenia, tel. +386 (0)2 8453 100, email info@impol.si. Documento societario Impol: ID za DDV SI45197687.";"alta";"alta";"alta";"false"
"Leichtmetall Aluminium Giesserei Hannover GmbH";"DE812225504";"";"Göttinger Straße 143";"34346";"Hann. Münden";"";"Germany";"Kathrin.Bodenbach@leichtmetall.eu";"+49 511 89878-472";"true";"Presente in certificati e DDT; alias corto: Leichtmetall A / Leichtmetall. Il DDT mostra chiaramente la ragione sociale completa e il contatto di riferimento. Impressum ufficiale: VAT DE812225504.";"certificati";"DDT";"Packing List 80008518: Leichtmetall Aluminium Giesserei Hannover GmbH, Göttinger Straße 143, 34346 Hann. Münden; contact person Kathrin Bodenbach. Impressum ufficiale: USt-IdNr DE812225504.";"alta";"alta";"alta";"false"
"Metalba S.p.A.";"08703710965";"";"Via Fortogna 100/A";"32013";"Longarone";"BL";"Italy";"";"+39 0424 252300";"true";"Presente in certificati e DDT; alias corto probabile: Metalba. I certificati puntano allo stabilimento/fonderia di Longarone, mentre il sito ufficiale conferma C.F./P.IVA 08703710965 e contatti generali di sede operativa.";"certificati";"DDT";"Certificato: Metalba S.p.A., Via Fortogna 100/A, 32013 Longarone (BL). Sito ufficiale Metalba: C.F. e P.IVA 08703710965, Tel +39 0424 252300.";"alta";"alta";"media";"false"
"Neuman Aluminium Austria GmbH";"ATU46519101";"";"Werkstraße 1";"3182";"Marktl";"";"Austria";"";"+43 2762 500-0";"true";"Presente in certificati e DDT; alias corto: Neuman. Il DDT fornisce address, telefono, fax, web e UID; email non esplicita nei campioni letti.";"certificati";"DDT";"DDT 75706589: footer Neuman Aluminium Austria GmbH, Werkstraße 1, 3182 Marktl, Austria, tel. +43 2762 500-0, UID-Nr. ATU46519101, www.neuman.at.";"alta";"alta";"media";"false"
"Zeeland Aluminium Company";"";"";"P.O. Box 9";"4380 AA";"Vlissingen";"";"The Netherlands";"zlc@zalco.nl";"+31 (0) 113 615 000";"true";"Presente in certificati e DDT. Il DDT espone chiaramente la sede e i contatti del fornitore; il brand Zalco va tenuto come alias operativo.";"certificati";"DDT";"DDT 20067: header Zalco / Zeeland Aluminium Company, P.O. Box 9, 4380 AA Vlissingen, The Netherlands, tel. +31 (0) 113 615 000, mail zlc@zalco.nl.";"alta";"alta";"alta";"false"
"Metalluminio S.p.A.";"";"";"Via del Novaj 47";"";"Cardano al Campo";"VA";"Italy";"";"+39 0331 712214";"true";"Presente solo in certificati. Fax ed email compaiono nel certificato, ma l'email OCR non e' ancora abbastanza stabile per import automatico.";"certificati";"";"Certificato renderizzato con intestazione leggibile: Metalluminio S.p.A., Via del Novaj 47, Cardano al Campo (VA), Italy, tel. +39 0331 712214.";"alta";"alta";"media";"false"
